TOP.5c6c0312.00035399	START
TOP.5c6c0557.0003ee45	user_options->hwmon_disable	0
TOP.5c6c0557.0003ee45	user_options->hwmon_temp_abort	90
TOP.5c6c0557.0003ee45	user_options->hash_mode	120
TOP.5c6c0557.0003ee45	user_options->hex_charset	0
TOP.5c6c0557.0003ee45	user_options->hex_salt	0
TOP.5c6c0557.0003ee45	user_options->hex_wordlist	0
TOP.5c6c0557.0003ee45	user_options->increment	0
TOP.5c6c0557.0003ee45	user_options->increment_max	256
TOP.5c6c0557.0003ee45	user_options->increment_min	1
TOP.5c6c0557.0003ee45	user_options->keep_guessing	0
TOP.5c6c0557.0003ee45	user_options->kernel_accel	0
TOP.5c6c0557.0003ee45	user_options->kernel_loops	0
TOP.5c6c0557.0003ee45	user_options->kernel_threads	0
TOP.5c6c0557.0003ee45	user_options->keyspace	0
TOP.5c6c0557.0003ee45	user_options->left	0
TOP.5c6c0557.0003ee45	user_options->logfile_disable	0
TOP.5c6c0557.0003ee45	user_options->loopback	0
TOP.5c6c0557.0003ee45	user_options->machine_readable	0
TOP.5c6c0557.0003ee45	user_options->markov_classic	0
TOP.5c6c0557.0003ee45	user_options->markov_disable	0
TOP.5c6c0557.0003ee45	user_options->markov_threshold	256
TOP.5c6c0557.0003ee45	user_options->opencl_info	0
TOP.5c6c0557.0003ee45	user_options->opencl_vector_width	0
TOP.5c6c0557.0003ee45	user_options->optimized_kernel_enable	0
TOP.5c6c0557.0003ee45	user_options->outfile_autohex	1
TOP.5c6c0557.0003ee45	user_options->outfile_check_timer	5
TOP.5c6c0557.0003ee45	user_options->outfile_format	3
TOP.5c6c0557.0003ee45	user_options->wordlist_autohex_disable	0
TOP.5c6c0557.0003ee45	user_options->potfile_disable	0
TOP.5c6c0557.0003ee45	user_options->progress_only	0
TOP.5c6c0557.0003ee45	user_options->quiet	0
TOP.5c6c0557.0003ee45	user_options->remove	0
TOP.5c6c0557.0003ee45	user_options->remove_timer	60
TOP.5c6c0557.0003ee45	user_options->restore	0
TOP.5c6c0557.0003ee45	user_options->restore_disable	0
TOP.5c6c0557.0003ee45	user_options->restore_timer	60
TOP.5c6c0557.0003ee45	user_options->rp_files_cnt	0
TOP.5c6c0557.0003ee45	user_options->rp_gen	0
TOP.5c6c0557.0003ee45	user_options->rp_gen_func_max	4
TOP.5c6c0557.0003ee45	user_options->rp_gen_func_min	1
TOP.5c6c0557.0003ee45	user_options->rp_gen_seed	0
TOP.5c6c0557.0003ee45	user_options->runtime	0
TOP.5c6c0557.0003ee45	user_options->scrypt_tmto	0
TOP.5c6c0557.0003ee45	user_options->segment_size	33554432
TOP.5c6c0557.0003ee45	user_options->self_test_disable	0
TOP.5c6c0557.0003ee45	user_options->slow_candidates	0
TOP.5c6c0557.0003ee45	user_options->show	0
TOP.5c6c0557.0003ee45	user_options->speed_only	0
TOP.5c6c0557.0003ee45	user_options->spin_damp	8
TOP.5c6c0557.0003ee45	user_options->status	0
TOP.5c6c0557.0003ee45	user_options->status_timer	10
TOP.5c6c0557.0003ee45	user_options->stdout_flag	0
TOP.5c6c0557.0003ee45	user_options->usage	0
TOP.5c6c0557.0003ee45	user_options->username	0
TOP.5c6c0557.0003ee45	user_options->veracrypt_pim	0
TOP.5c6c0557.0003ee45	user_options->version	0
TOP.5c6c0557.0003ee45	user_options->workload_profile	2
TOP.5c6c0557.0003ee45	user_options->brain_client	0
TOP.5c6c0557.0003ee45	user_options->brain_client_features	2
TOP.5c6c0557.0003ee45	user_options->brain_server	0
TOP.5c6c0557.0003ee45	user_options->brain_port	6863
TOP.5c6c0557.0003ee45	user_options->brain_session	0
TOP.5c6c0557.0003ee45	hashes->hashfile	hash.txt
TOP.5c6c0557.0003ee45	hashes->hashlist_mode	4
TOP.5c6c0557.0003ee45	hashes->hashlist_format	0
TOP.5c6c0557.0003ee45	hashes->hashes_cnt	0
TOP.5c6c0557.0003ee45	hashes->digests_cnt	4
TOP.5c6c0557.0003ee45	hashes->digests_done	0
TOP.5c6c0557.0003ee45	hashes->salts_cnt	4
TOP.5c6c0557.0003ee45	hashes->salts_done	0
TOP.5c6c0557.0003ee45	SUB.5c6c0559.0006f80c	START
TOP.5c6c0557.0003ee45	SUB.5c6c0559.0006f80c	mask_ctx->mask	?1?1?1?1?1
TOP.5c6c0557.0003ee45	SUB.5c6c0559.0006f80c	runtime_start	1550583130
TOP.5c6c0557.0003ee45	SUB.5c6c0559.0006f80c	runtime_stop	1550583130
TOP.5c6c0557.0003ee45	SUB.5c6c0559.0006f80c	status-after-work	5
TOP.5c6c0557.0003ee45	SUB.5c6c0559.0006f80c	STOP
TOP.5c6c0557.0003ee45	proc_start	1550583127
TOP.5c6c0557.0003ee45	proc_stop	1550583132
TOP.5c6c0557.0003ee45	STOP
TOP.5c6c0691.000d4113	START
TOP.5c6c0691.000d4113	user_options->separator	:
TOP.5c6c0691.000d4113	user_options->custom_charset_1	?d?l?u
TOP.5c6c0691.000d4113	user_options->encoding_from	utf-8
TOP.5c6c0691.000d4113	user_options->encoding_to	utf-8
TOP.5c6c0691.000d4113	user_options->rule_buf_l	:
TOP.5c6c0691.000d4113	user_options->rule_buf_r	:
TOP.5c6c0691.000d4113	user_options->session	hashcat
TOP.5c6c0691.000d4113	user_options->limit	0
TOP.5c6c0691.000d4113	user_options->skip	0
TOP.5c6c0691.000d4113	user_options->attack_mode	3
TOP.5c6c0691.000d4113	user_options->benchmark	0
TOP.5c6c0691.000d4113	user_options->benchmark_all	0
TOP.5c6c0691.000d4113	user_options->bitmap_max	18
TOP.5c6c0691.000d4113	user_options->bitmap_min	16
TOP.5c6c0691.000d4113	user_options->debug_mode	0
TOP.5c6c0691.000d4113	user_options->example_hashes	0
TOP.5c6c0691.000d4113	user_options->force	1
TOP.5c6c0691.000d4113	user_options->hwmon_disable	0
TOP.5c6c0691.000d4113	user_options->hwmon_temp_abort	90
TOP.5c6c0691.000d4113	user_options->hash_mode	120
TOP.5c6c0691.000d4113	user_options->hex_charset	0
TOP.5c6c0691.000d4113	user_options->hex_salt	0
TOP.5c6c0691.000d4113	user_options->hex_wordlist	0
TOP.5c6c0691.000d4113	user_options->increment	0
TOP.5c6c0691.000d4113	user_options->increment_max	256
TOP.5c6c0691.000d4113	user_options->increment_min	1
TOP.5c6c0691.000d4113	user_options->keep_guessing	0
TOP.5c6c0691.000d4113	user_options->kernel_accel	0
TOP.5c6c0691.000d4113	user_options->kernel_loops	0
TOP.5c6c0691.000d4113	user_options->kernel_threads	0
TOP.5c6c0691.000d4113	user_options->keyspace	0
TOP.5c6c0691.000d4113	user_options->left	0
TOP.5c6c0691.000d4113	user_options->logfile_disable	0
TOP.5c6c0691.000d4113	user_options->loopback	0
TOP.5c6c0691.000d4113	user_options->machine_readable	0
TOP.5c6c0691.000d4113	user_options->markov_classic	0
TOP.5c6c0691.000d4113	user_options->markov_disable	0
TOP.5c6c0691.000d4113	user_options->markov_threshold	256
TOP.5c6c0691.000d4113	user_options->opencl_info	0
TOP.5c6c0691.000d4113	user_options->opencl_vector_width	0
TOP.5c6c0691.000d4113	user_options->optimized_kernel_enable	0
TOP.5c6c0691.000d4113	user_options->outfile_autohex	1
TOP.5c6c0691.000d4113	user_options->outfile_check_timer	5
TOP.5c6c0691.000d4113	user_options->outfile_format	3
TOP.5c6c0691.000d4113	user_options->wordlist_autohex_disable	0
TOP.5c6c0691.000d4113	user_options->potfile_disable	0
TOP.5c6c0691.000d4113	user_options->progress_only	0
TOP.5c6c0691.000d4113	user_options->quiet	0
TOP.5c6c0691.000d4113	user_options->remove	0
TOP.5c6c0691.000d4113	user_options->remove_timer	60
TOP.5c6c0691.000d4113	user_options->restore	0
TOP.5c6c0691.000d4113	user_options->restore_disable	0
TOP.5c6c0691.000d4113	user_options->restore_timer	60
TOP.5c6c0691.000d4113	user_options->rp_files_cnt	0
TOP.5c6c0691.000d4113	user_options->rp_gen	0
TOP.5c6c0691.000d4113	user_options->rp_gen_func_max	4
TOP.5c6c0691.000d4113	user_options->rp_gen_func_min	1
TOP.5c6c0691.000d4113	user_options->rp_gen_seed	0
TOP.5c6c0691.000d4113	user_options->runtime	0
TOP.5c6c0691.000d4113	user_options->scrypt_tmto	0
TOP.5c6c0691.000d4113	user_options->segment_size	33554432
TOP.5c6c0691.000d4113	user_options->self_test_disable	0
TOP.5c6c0691.000d4113	user_options->slow_candidates	0
TOP.5c6c0691.000d4113	user_options->show	0
TOP.5c6c0691.000d4113	user_options->speed_only	0
TOP.5c6c0691.000d4113	user_options->spin_damp	8
TOP.5c6c0691.000d4113	user_options->status	0
TOP.5c6c0691.000d4113	user_options->status_timer	10
TOP.5c6c0691.000d4113	user_options->stdout_flag	0
TOP.5c6c0691.000d4113	user_options->usage	0
TOP.5c6c0691.000d4113	user_options->username	0
TOP.5c6c0691.000d4113	user_options->veracrypt_pim	0
TOP.5c6c0691.000d4113	user_options->version	0
TOP.5c6c0691.000d4113	user_options->workload_profile	2
TOP.5c6c0691.000d4113	user_options->brain_client	0
TOP.5c6c0691.000d4113	user_options->brain_client_features	2
TOP.5c6c0691.000d4113	user_options->brain_server	0
TOP.5c6c0691.000d4113	user_options->brain_port	6863
TOP.5c6c0691.000d4113	user_options->brain_session	0
TOP.5c6c0691.000d4113	proc_start	1550583441
TOP.5c6c0691.000d4113	proc_stop	1550583442
TOP.5c6c0691.000d4113	STOP
TOP.5c6c071c.0001105c	START
TOP.5c6c071c.0001105c	user_options->separator	:
TOP.5c6c071c.0001105c	user_options->custom_charset_1	?d?l?u
TOP.5c6c071c.0001105c	user_options->encoding_from	utf-8
TOP.5c6c071c.0001105c	user_options->encoding_to	utf-8
TOP.5c6c071c.0001105c	user_options->rule_buf_l	:
TOP.5c6c071c.0001105c	user_options->rule_buf_r	:
TOP.5c6c071c.0001105c	user_options->session	hashcat
TOP.5c6c071c.0001105c	user_options->limit	0
TOP.5c6c071c.0001105c	user_options->skip	0
TOP.5c6c071c.0001105c	user_options->attack_mode	3
TOP.5c6c071c.0001105c	user_options->benchmark	0
TOP.5c6c071c.0001105c	user_options->benchmark_all	0
TOP.5c6c071c.0001105c	user_options->bitmap_max	18
TOP.5c6c071c.0001105c	user_options->bitmap_min	16
TOP.5c6c071c.0001105c	user_options->debug_mode	0
TOP.5c6c071c.0001105c	user_options->example_hashes	0
TOP.5c6c071c.0001105c	user_options->force	1
TOP.5c6c071c.0001105c	user_options->hwmon_disable	0
TOP.5c6c071c.0001105c	user_options->hwmon_temp_abort	90
TOP.5c6c071c.0001105c	user_options->hash_mode	120
TOP.5c6c071c.0001105c	user_options->hex_charset	0
TOP.5c6c071c.0001105c	user_options->hex_salt	0
TOP.5c6c071c.0001105c	user_options->hex_wordlist	0
TOP.5c6c071c.0001105c	user_options->increment	0
TOP.5c6c071c.0001105c	user_options->increment_max	256
TOP.5c6c071c.0001105c	user_options->increment_min	1
TOP.5c6c071c.0001105c	user_options->keep_guessing	0
TOP.5c6c071c.0001105c	user_options->kernel_accel	0
TOP.5c6c071c.0001105c	user_options->kernel_loops	0
TOP.5c6c071c.0001105c	user_options->kernel_threads	0
TOP.5c6c071c.0001105c	user_options->keyspace	0
TOP.5c6c071c.0001105c	user_options->left	0
TOP.5c6c071c.0001105c	user_options->logfile_disable	0
TOP.5c6c071c.0001105c	user_options->loopback	0
TOP.5c6c071c.0001105c	user_options->machine_readable	0
TOP.5c6c071c.0001105c	user_options->markov_classic	0
TOP.5c6c071c.0001105c	user_options->markov_disable	0
TOP.5c6c071c.0001105c	user_options->markov_threshold	256
TOP.5c6c071c.0001105c	user_options->opencl_info	0
TOP.5c6c071c.0001105c	user_options->opencl_vector_width	0
TOP.5c6c071c.0001105c	user_options->optimized_kernel_enable	0
TOP.5c6c071c.0001105c	user_options->outfile_autohex	1
TOP.5c6c071c.0001105c	user_options->outfile_check_timer	5
TOP.5c6c071c.0001105c	user_options->outfile_format	3
TOP.5c6c071c.0001105c	user_options->wordlist_autohex_disable	0
TOP.5c6c071c.0001105c	user_options->potfile_disable	0
TOP.5c6c071c.0001105c	user_options->progress_only	0
TOP.5c6c071c.0001105c	user_options->quiet	0
TOP.5c6c071c.0001105c	user_options->remove	0
TOP.5c6c071c.0001105c	user_options->remove_timer	60
TOP.5c6c071c.0001105c	user_options->restore	0
TOP.5c6c071c.0001105c	user_options->restore_disable	0
TOP.5c6c071c.0001105c	user_options->restore_timer	60
TOP.5c6c071c.0001105c	user_options->rp_files_cnt	0
TOP.5c6c071c.0001105c	user_options->rp_gen	0
TOP.5c6c071c.0001105c	user_options->rp_gen_func_max	4
TOP.5c6c071c.0001105c	user_options->rp_gen_func_min	1
TOP.5c6c071c.0001105c	user_options->rp_gen_seed	0
TOP.5c6c071c.0001105c	user_options->runtime	0
TOP.5c6c071c.0001105c	user_options->scrypt_tmto	0
TOP.5c6c071c.0001105c	user_options->segment_size	33554432
TOP.5c6c071c.0001105c	user_options->self_test_disable	0
TOP.5c6c071c.0001105c	user_options->slow_candidates	0
TOP.5c6c071c.0001105c	user_options->show	0
TOP.5c6c071c.0001105c	user_options->speed_only	0
TOP.5c6c071c.0001105c	user_options->spin_damp	8
TOP.5c6c071c.0001105c	user_options->status	0
TOP.5c6c071c.0001105c	user_options->status_timer	10
TOP.5c6c071c.0001105c	user_options->stdout_flag	0
TOP.5c6c071c.0001105c	user_options->usage	0
TOP.5c6c071c.0001105c	user_options->username	0
TOP.5c6c071c.0001105c	user_options->veracrypt_pim	0
TOP.5c6c071c.0001105c	user_options->version	0
TOP.5c6c071c.0001105c	user_options->workload_profile	2
TOP.5c6c071c.0001105c	user_options->brain_client	0
TOP.5c6c071c.0001105c	user_options->brain_client_features	2
TOP.5c6c071c.0001105c	user_options->brain_server	0
TOP.5c6c071c.0001105c	user_options->brain_port	6863
TOP.5c6c071c.0001105c	user_options->brain_session	0
TOP.5c6c071c.0001105c	hashes->hashfile	hash.txt
TOP.5c6c071c.0001105c	hashes->hashlist_mode	4
TOP.5c6c071c.0001105c	hashes->hashlist_format	0
TOP.5c6c071c.0001105c	hashes->hashes_cnt	0
TOP.5c6c071c.0001105c	hashes->digests_cnt	6
TOP.5c6c071c.0001105c	hashes->digests_done	1
TOP.5c6c071c.0001105c	hashes->salts_cnt	1
TOP.5c6c071c.0001105c	hashes->salts_done	0
TOP.5c6c071c.0001105c	SUB.5c6c071e.0003d8b9	START
TOP.5c6c071c.0001105c	SUB.5c6c071e.0003d8b9	mask_ctx->mask	?1?1?1?1?1
TOP.5c6c071c.0001105c	SUB.5c6c071e.0003d8b9	runtime_start	1550583583
TOP.5c6c071c.0001105c	SUB.5c6c071e.0003d8b9	runtime_stop	1550583593
TOP.5c6c071c.0001105c	SUB.5c6c071e.0003d8b9	status-after-work	5
TOP.5c6c071c.0001105c	SUB.5c6c071e.0003d8b9	STOP
TOP.5c6c071c.0001105c	proc_start	1550583580
TOP.5c6c071c.0001105c	proc_stop	1550583594
TOP.5c6c071c.0001105c	STOP
TOP.5c6c0744.00095cd8	START
TOP.5c6c0744.00095cd8	user_options->separator	:
TOP.5c6c0744.00095cd8	user_options->custom_charset_1	?d?l?u
TOP.5c6c0744.00095cd8	user_options->encoding_from	utf-8
TOP.5c6c0744.00095cd8	user_options->encoding_to	utf-8
TOP.5c6c0744.00095cd8	user_options->rule_buf_l	:
TOP.5c6c0744.00095cd8	user_options->rule_buf_r	:
TOP.5c6c0744.00095cd8	user_options->session	hashcat
TOP.5c6c0744.00095cd8	user_options->limit	0
TOP.5c6c0744.00095cd8	user_options->skip	0
TOP.5c6c0744.00095cd8	user_options->attack_mode	3
TOP.5c6c0744.00095cd8	user_options->benchmark	0
TOP.5c6c0744.00095cd8	user_options->benchmark_all	0
TOP.5c6c0744.00095cd8	user_options->bitmap_max	18
TOP.5c6c0744.00095cd8	user_options->bitmap_min	16
TOP.5c6c0744.00095cd8	user_options->debug_mode	0
TOP.5c6c0744.00095cd8	user_options->example_hashes	0
TOP.5c6c0744.00095cd8	user_options->force	1
TOP.5c6c0744.00095cd8	user_options->hwmon_disable	0
TOP.5c6c0744.00095cd8	user_options->hwmon_temp_abort	90
TOP.5c6c0744.00095cd8	user_options->hash_mode	120
TOP.5c6c0744.00095cd8	user_options->hex_charset	0
TOP.5c6c0744.00095cd8	user_options->hex_salt	0
TOP.5c6c0744.00095cd8	user_options->hex_wordlist	0
TOP.5c6c0744.00095cd8	user_options->increment	0
TOP.5c6c0744.00095cd8	user_options->increment_max	256
TOP.5c6c0744.00095cd8	user_options->increment_min	1
TOP.5c6c0744.00095cd8	user_options->keep_guessing	0
TOP.5c6c0744.00095cd8	user_options->kernel_accel	0
TOP.5c6c0744.00095cd8	user_options->kernel_loops	0
TOP.5c6c0744.00095cd8	user_options->kernel_threads	0
TOP.5c6c0744.00095cd8	user_options->keyspace	0
TOP.5c6c0744.00095cd8	user_options->left	0
TOP.5c6c0744.00095cd8	user_options->logfile_disable	0
TOP.5c6c0744.00095cd8	user_options->loopback	0
TOP.5c6c0744.00095cd8	user_options->machine_readable	0
TOP.5c6c0744.00095cd8	user_options->markov_classic	0
TOP.5c6c0744.00095cd8	user_options->markov_disable	0
TOP.5c6c0744.00095cd8	user_options->markov_threshold	256
TOP.5c6c0744.00095cd8	user_options->opencl_info	0
TOP.5c6c0744.00095cd8	user_options->opencl_vector_width	0
TOP.5c6c0744.00095cd8	user_options->optimized_kernel_enable	0
TOP.5c6c0744.00095cd8	user_options->outfile_autohex	1
TOP.5c6c0744.00095cd8	user_options->outfile_check_timer	5
TOP.5c6c0744.00095cd8	user_options->outfile_format	3
TOP.5c6c0744.00095cd8	user_options->wordlist_autohex_disable	0
TOP.5c6c0744.00095cd8	user_options->potfile_disable	0
TOP.5c6c0744.00095cd8	user_options->progress_only	0
TOP.5c6c0744.00095cd8	user_options->quiet	0
TOP.5c6c0744.00095cd8	user_options->remove	0
TOP.5c6c0744.00095cd8	user_options->remove_timer	60
TOP.5c6c0744.00095cd8	user_options->restore	0
TOP.5c6c0744.00095cd8	user_options->restore_disable	0
TOP.5c6c0744.00095cd8	user_options->restore_timer	60
TOP.5c6c0744.00095cd8	user_options->rp_files_cnt	0
TOP.5c6c0744.00095cd8	user_options->rp_gen	0
TOP.5c6c0744.00095cd8	user_options->rp_gen_func_max	4
TOP.5c6c0744.00095cd8	user_options->rp_gen_func_min	1
TOP.5c6c0744.00095cd8	user_options->rp_gen_seed	0
TOP.5c6c0744.00095cd8	user_options->runtime	0
TOP.5c6c0744.00095cd8	user_options->scrypt_tmto	0
TOP.5c6c0744.00095cd8	user_options->segment_size	33554432
TOP.5c6c0744.00095cd8	user_options->self_test_disable	0
TOP.5c6c0744.00095cd8	user_options->slow_candidates	0
TOP.5c6c0744.00095cd8	user_options->show	0
TOP.5c6c0744.00095cd8	user_options->speed_only	0
TOP.5c6c0744.00095cd8	user_options->spin_damp	8
TOP.5c6c0744.00095cd8	user_options->status	0
TOP.5c6c0744.00095cd8	user_options->status_timer	10
TOP.5c6c0744.00095cd8	user_options->stdout_flag	0
TOP.5c6c0744.00095cd8	user_options->usage	0
TOP.5c6c0744.00095cd8	user_options->username	0
TOP.5c6c0744.00095cd8	user_options->veracrypt_pim	0
TOP.5c6c0744.00095cd8	user_options->version	0
TOP.5c6c0744.00095cd8	user_options->workload_profile	2
TOP.5c6c0744.00095cd8	user_options->brain_client	0
TOP.5c6c0744.00095cd8	user_options->brain_client_features	2
TOP.5c6c0744.00095cd8	user_options->brain_server	0
TOP.5c6c0744.00095cd8	user_options->brain_port	6863
TOP.5c6c0744.00095cd8	user_options->brain_session	0
TOP.5c6c0744.00095cd8	hashes->hashfile	hash.txt
TOP.5c6c0744.00095cd8	hashes->hashlist_mode	4
TOP.5c6c0744.00095cd8	hashes->hashlist_format	0
TOP.5c6c0744.00095cd8	hashes->hashes_cnt	0
TOP.5c6c0744.00095cd8	hashes->digests_cnt	6
TOP.5c6c0744.00095cd8	hashes->digests_done	1
TOP.5c6c0744.00095cd8	hashes->salts_cnt	1
TOP.5c6c0744.00095cd8	hashes->salts_done	0
TOP.5c6c0744.00095cd8	SUB.5c6c0746.000b9a1e	START
TOP.5c6c0744.00095cd8	SUB.5c6c0746.000b9a1e	mask_ctx->mask	?1?1?1?1?1?1
TOP.5c6c0744.00095cd8	SUB.5c6c0746.000b9a1e	runtime_start	1550583623
TOP.5c6c0744.00095cd8	SUB.5c6c0746.000b9a1e	runtime_stop	1550584617
TOP.5c6c0744.00095cd8	SUB.5c6c0746.000b9a1e	status-after-work	5
TOP.5c6c0744.00095cd8	SUB.5c6c0746.000b9a1e	STOP
TOP.5c6c0744.00095cd8	proc_start	1550583620
TOP.5c6c0744.00095cd8	proc_stop	1550584618
TOP.5c6c0744.00095cd8	STOP
TOP.5c6c0ec9.000f130f	START
TOP.5c6c0ec9.000f130f	user_options->separator	:
TOP.5c6c0ec9.000f130f	user_options->custom_charset_1	?d?l?u
TOP.5c6c0ec9.000f130f	user_options->encoding_from	utf-8
TOP.5c6c0ec9.000f130f	user_options->encoding_to	utf-8
TOP.5c6c0ec9.000f130f	user_options->rule_buf_l	:
TOP.5c6c0ec9.000f130f	user_options->rule_buf_r	:
TOP.5c6c0ec9.000f130f	user_options->session	hashcat
TOP.5c6c0ec9.000f130f	user_options->limit	0
TOP.5c6c0ec9.000f130f	user_options->skip	0
